Record Number,Building Use,Property Address,CO Issue Date,Occupancy Classification,Square Footage,Number of Stories,Parcel Status
PB01-02745,Education,3504 KIM BO RD,07/08/2003,F-1,0,1,A
PB01-02745,Education,3504 KIM BO RD,07/08/2003,A-2,0,1,A
PB01-02745,Education,3504 KIM BO RD,07/08/2003,A-3,0,1,A
PB01-02745,Education,3504 KIM BO RD,07/08/2003,E,62770,1,A
PB01-03402,Education,519 E BUTLER ST,02/04/2004,B,0,2,A
PB01-03402,Education,519 E BUTLER ST,02/04/2004,E,16146,2,A
PB01-03798,Education,9450 RAY WHITE RD,02/05/2004,E,20020,1,A
PB01-04625,Education,2000 PARK PLACE AVE,02/04/2004,A,0,2,A
PB01-04625,Education,2000 PARK PLACE AVE,02/04/2004,E,27449,2,A
PB01-04954,Education,958 PAGE ST,07/02/2004,E,247,2,A
PB01-04955,Education,958 PAGE ST,07/02/2004,A-3,0,2,A
PB01-04955,Education,958 PAGE ST,07/02/2004,E,0,2,A
PB01-06010,Education,6817 CUMBERLAND RD,11/18/2003,E,20941,0,A
PB02-01161,Education,4630 M CPHERSON BLVD,02/23/2004,E,119630,0,A
PB02-01801,Education,5700 RAM EY AVE,01/22/2004,M,430,1,A
PB02-01859,Education,3600 WEBER ST,05/15/2003,E,9935,0,A
PB02-01871,Education,6101 M C CART AVE,12/08/2003,E,255,0,A
PB02-01872,Education,6101 M C CART AVE,12/08/2003,E,505,0,A
PB02-01874,Education,6101 M C CART AVE,12/08/2003,E,255,0,A
PB02-01982,Education,3301 YUCCA AVE,08/26/2004,E,7013,0,A
PB02-01983,Education,3301 YUCCA AVE,08/26/2004,A-2,1647,0,A
PB02-02234,Education,3001 AZLE AVE,09/22/2004,E,18260,0,A
PB02-03615,Education,3201 SOUTH HILLS AVE,03/07/2003,E,4136,1,A
PB02-03885,Education,3816 STADIUM  DR,06/02/2003,E,7926,1,A
PB02-04834,Education,3908 M C CART AVE,05/07/2004,E,4169,0,A
PB02-04958,Education,4300 CLAY AVE,01/15/2004,A-2,6098,0,A
PB02-05502,Education,2301 TEXAN DR,01/08/2003,E,3210,1,A
PB02-05502,Education,2301 TEXAN DR,01/08/2003,A-4,13000,1,A
PB02-05562,Education,2301 TEXAN DR,02/04/2003,B,140,1,A
PB02-05572,Education,2301 TEXAN DR,02/04/2003,U,1474,10,A
PB02-06114,Education,401 SAM UELS AVE,05/10/2005,E,922,0,A
PB02-06115,Education,401 SAM UELS AVE,05/10/2005,E,4386,0,A
PB02-06118,Education,709 NW 21ST ST,07/02/2004,E,2400,3,A
PB02-06602,Education,2300 HEM PHILL ST,05/04/2004,A-3,6335,0,A
PB02-06860,Education,3001 FOREST PARK BLVD,04/08/2004,M,300,0,A
PB02-08631,Education,6250 SOUTH FWY,08/17/2003,E,551,0,A
PB02-09706,Education,9700 SAINTS CIR,11/04/2003,A-3,7342,1,A
PB02-12752,Education,2805 LAREDO DR,10/29/2004,E,20066,1,A
PB02-13222,Education,3700 W BERRY ST,02/05/2003,A-5,288,2,A
PB02-13489,Education,3604 CIM MARON TRL,08/10/2004,E,21346,1,A
PB03-00645,Education,2801 COUNTRY CREEK LN,10/13/2003,E,7808,0,A
PB03-00648,Education,6651 OAKM ONT TRL,09/04/2003,U,2773,1,A
PB03-00648,Education,6651 OAKM ONT TRL,09/04/2003,E,3062,1,A
PB03-04411,Education,701 AM ERICAN FLYER BLVD,01/12/2004,E,14812,2,A
PB03-05655,Education,3301 YUCCA AVE,01/13/2004,A-5,430,1,A
PB03-07016,Education,8601 RANDOL M ILL RD,02/05/2020,E,10891,0,A
PB03-07144,Education,3000 STADIUM  DR,05/05/2004,A-3,24850,2,A
PB03-07427,Education,7148 TRAIL LAKE DR,08/18/2004,E,5064,1,A
PB04-02342,Education,1300 CONNER AVE,11/30/2006,E,209,1,A
PB04-02343,Education,1300 CONNER AVE,11/30/2006,A-3,2918,1,A
PB04-02344,Education,1300 CONNER AVE,11/30/2006,E,11020,1,A
PB04-10831,Education,2800 S UNIVERSITY DR,12/21/2004,A-3,4333,0,A
PB04-11021,Education,9601 N NORM ANDALE ST,07/28/2005,F-1,864,0,A
PB04-13014,Education,2200 TEXAN DR,09/07/2005,E,20790,0,A
PB04-13923,Education,1937 TEXAN DR,08/25/2005,A-5,29114,2,A
PB04-14599,Education,3800 W RISINGER RD,02/13/2007,E,21500,0,A
PB05-02257,Education,5805 W BAILEY BOSWELL RD,05/25/2006,B,74,0,A
PB05-02257,Education,5805 W BAILEY BOSWELL RD,05/25/2006,B,198,0,A
PB05-02257,Education,5805 W BAILEY BOSWELL RD,05/25/2006,B,1460,0,A
PB05-02257,Education,5805 W BAILEY BOSWELL RD,05/25/2006,B,114,0,A
PB05-02543,Education,3420 W RISINGER RD,03/23/2006,I-4,9943,0,A
PB05-05143,Education,9729 SAINTS CIR S,06/08/2006,E,31200,0,A
PB05-07086,Education,2722 W BERRY ST,10/05/2005,B,13468,0,A
PB05-08714,Education,2701 BURCHILL RD,12/05/2005,E,1536,0,A
PB05-11560,Education,5400 SHIVER RD,08/04/2006,E,81418,0,A
